Song ID,Token ID,Term Frequency,Inverse Document Frequency,TF-IDF
1,away,1,1.0986122886681098,1.0986122886681098
7,away,2,1.0986122886681098,2.1972245773362196
9,away,1,1.0986122886681098,1.0986122886681098
11,away,2,1.0986122886681098,2.1972245773362196
15,away,1,1.0986122886681098,1.0986122886681098
1,of,4,0.06899287148695142,0.2759714859478057
2,of,4,0.06899287148695142,0.2759714859478057
3,of,4,0.06899287148695142,0.2759714859478057
4,of,1,0.06899287148695142,0.06899287148695142
5,of,3,0.06899287148695142,0.20697861446085425
6,of,5,0.06899287148695142,0.3449643574347571
7,of,17,0.06899287148695142,1.1728788152781742
8,of,6,0.06899287148695142,0.4139572289217085
9,of,3,0.06899287148695142,0.20697861446085425
10,of,1,0.06899287148695142,0.06899287148695142
11,of,5,0.06899287148695142,0.3449643574347571
12,of,3,0.06899287148695142,0.20697861446085425
14,of,5,0.06899287148695142,0.3449643574347571
15,of,3,0.06899287148695142,0.20697861446085425
2,youre,2,0.6286086594223741,1.2572173188447482
3,youre,1,0.6286086594223741,0.6286086594223741
4,youre,1,0.6286086594223741,0.6286086594223741
6,youre,3,0.6286086594223741,1.8858259782671223
7,youre,1,0.6286086594223741,0.6286086594223741
8,youre,2,0.6286086594223741,1.2572173188447482
10,youre,1,0.6286086594223741,0.6286086594223741
12,youre,1,0.6286086594223741,0.6286086594223741
3,everything,4,1.3217558399823195,5.287023359929278
6,everything,2,1.3217558399823195,2.643511679964639
8,everything,1,1.3217558399823195,1.3217558399823195
15,everything,9,1.3217558399823195,11.895802559840876
3,free,1,2.0149030205422647,2.0149030205422647
7,free,1,2.0149030205422647,2.0149030205422647
3,before,1,1.6094379124341003,1.6094379124341003
7,before,1,1.6094379124341003,1.6094379124341003
13,before,1,1.6094379124341003,1.6094379124341003
3,have,3,0.9162907318741551,2.7488721956224653
4,have,2,0.9162907318741551,1.8325814637483102
6,have,3,0.9162907318741551,2.7488721956224653
7,have,1,0.9162907318741551,0.9162907318741551
11,have,1,0.9162907318741551,0.9162907318741551
14,have,1,0.9162907318741551,0.9162907318741551
3,anymore,7,2.70805020110221,18.95635140771547
3,no,1,1.0986122886681098,1.0986122886681098
6,no,5,1.0986122886681098,5.493061443340549
7,no,5,1.0986122886681098,5.493061443340549
