Song ID,Song Name,Token ID,TF-IDF
1,Faded,faded,29.78855221
2,Girl from the North Country,winds,8.124150603
3,Hello,hello,24.37245181
4,Impossible,impossible,43.32880322
5,Kryptonite,kryptonite,10.8322008
5,Kryptonite,might,10.8322008
5,Kryptonite,superhuman,10.8322008
5,Kryptonite,superman,10.8322008
6,Mockingbird,daddy,27.08050201
7,Murder Most Foul,play,165.1910623
8,Numb,undertow,21.66440161
8,Numb,caught,21.66440161
9,Photograph,wait,12.08941812
10,Run To You,run,54.16100402
11,Somewhere I Belong,want,29.07862848
12,Still into You,into,33.79819616
13,Tears Don t Fall,calls,24.37245181
13,Tears Don t Fall,conscience,24.37245181
14,The Diary of Jane,somethings,16.24830121
15,When I m Gone,gone,14.28195975
